Hometown_size,Gender,Marital_status,Household_size,Age,Education,Household_income,Dwelling_type,Car_choice_now,Planning_to_buy_in_12months,Conserve,Fuelefficient,supercycle1 ,runaboutsport2seat ,economyhybrid4seat ,Novelist,Innovator,Trendsetter,Mainstreamer,Favorite_TV_type,Favorite_music_genre,Favorite_news_type,Favorite_news_section,Socialmedia_dailyspent,online_games_spent
500K to 1 million,Male,Married (Includes Cohabitation),3,50 to 59,Bachelor's degree,$101K to $150K,Condominium/Townhouse,Luxury,No,2,1,4,4,5,6,6,7,6,Documentary,Classic pop & rock,"Trucks, Cars & Motorcycles",Business,About 1 hour,Less than 1 hour
500K to 1 million,Male,Unmarried,1,40 to 49,Bachelor's degree,$76K to $100K,Single family,None,No,2,5,2,4,2,3,7,4,6,Documentary,Jazz & blues,Family & parenting,Sports,Less than 1 hour,Less than 1 hour
1 million and more,Male,Married (Includes Cohabitation),5,40 to 49,Some college or Associate's degree,$76K to $100K,Single family,Standard,Yes,7,2,2,7,2,4,7,5,3,Movies/Miniseries,Talk,Family & parenting,Sports,About 2 hours,About 2 hours
100K to 500K,Female,Married (Includes Cohabitation),3,40 to 49,Bachelor's degree,$101K to $150K,Single family,Luxury,No,7,7,7,4,6,2,6,3,1,Documentary,Jazz & blues,"News, politics & current events",Entertainment,Less than 1 hour,Less than 1 hour
1 million and more,Male,Unmarried,1,40 to 49,Some college or Associate's degree,$76K to $100K,Condominium/Townhouse,Standard,Yes,5,7,4,6,2,6,7,5,7,Drama,Pop & Chart,Family & parenting,Sports,About 2 hours,About 2 hours
10K to 100K,Male,Married (Includes Cohabitation),2,50 to 59,High school graduate,$76K to $100K,Moble home,Luxury,No,7,7,2,7,7,5,3,2,3,Movies/Miniseries,Pop & Chart,Sports & outdoors,Local news,About 1 hour,Less than 1 hour
10K to 100K,Male,Married (Includes Cohabitation),3,40 to 49,Bachelor's degree,$101K to $150K,Single family,Economy,Yes,7,7,4,3,4,4,6,6,4,Documentary,Talk,"News, politics & current events",Local news,About 1 hour,About 2 hours
100K to 500K,Female,Married (Includes Cohabitation),3,40 to 49,Bachelor's degree,$101K to $150K,Single family,Standard,No,7,7,3,3,6,5,3,5,3,Documentary,Jazz & blues,"News, politics & current events",Business,About 1 hour,About 1 hour
500K to 1 million,Female,Married (Includes Cohabitation),2,30 to 39,Some college or Associate's degree,$76K to $100K,Multiple family,Standard,No,7,7,7,6,7,3,6,2,2,Movies/Miniseries,Pop & Chart,Family & parenting,Sports,About 2 hours,About 1 hour
500K to 1 million,Male,Married (Includes Cohabitation),3,50 to 59,Graduate or professional degree,$101K to $150K,Multiple family,Standard,No,6,7,2,4,7,4,5,4,1,Movies/Miniseries,Easy listening,Business & money,Editorial,Less than 1 hour,Less than 1 hour
100K to 500K,Male,Married (Includes Cohabitation),2,40 to 49,Bachelor's degree,$101K to $150K,Single family,Standard,No,7,7,2,4,2,3,7,7,2,Reality,Pop & Chart,Music & entertainment,Business,About 1 hour,About 1 hour
500K to 1 million,Female,Married (Includes Cohabitation),4,40 to 49,Bachelor's degree,$101K to $150K,Condominium/Townhouse,Standard,No,7,7,3,3,5,3,4,6,2,Documentary,Jazz & blues,Family & parenting,Business,Less than 1 hour,Less than 1 hour
1 million and more,Female,Unmarried,1,30 to 39,Some college or Associate's degree,$50K to $75K,Condominium/Townhouse,Economy,No,7,7,4,6,3,6,7,5,4,Drama,Pop & Chart,Sports & outdoors,Sports,About 2 hours,About 2 hours
100K to 500K,Female,Married (Includes Cohabitation),2,30 to 39,Some college or Associate's degree,$76K to $100K,Single family,Economy,No,4,7,3,6,3,3,7,5,1,Comedy,Talk,"News, politics & current events",Sports,About 3 hours or more,About 3 hours or more
1 million and more,Female,Unmarried,1,30 to 39,Some college or Associate's degree,$76K to $100K,Condominium/Townhouse,Standard,No,7,7,4,6,7,5,7,2,5,Drama,Pop & Chart,Family & parenting,Sports,About 2 hours,About 2 hours
100K to 500K,Female,Married (Includes Cohabitation),3,30 to 39,Bachelor's degree,$76K to $100K,Condominium/Townhouse,Standard,Yes,7,7,3,3,3,5,5,7,6,Science Fiction,Pop & Chart,Family & parenting,Sports,Less than 1 hour,About 1 hour
10K to 100K,Male,Married (Includes Cohabitation),3,40 to 49,Bachelor's degree,$76K to $100K,Moble home,Standard,No,7,7,4,3,4,5,3,5,5,Sports,Pop & Chart,Family & parenting,Business,About 1 hour,About 1 hour
100K to 500K,Female,Married (Includes Cohabitation),5,40 to 49,Bachelor's degree,$101K to $150K,Single family,Economy,No,7,7,7,4,6,4,7,2,7,Documentary,Pop & Chart,"News, politics & current events",Local news,Less than 1 hour,Less than 1 hour
100K to 500K,Male,Married (Includes Cohabitation),2,40 to 49,Some college or Associate's degree,$76K to $100K,Single family,Standard,Yes,7,7,4,7,4,4,7,4,2,Movies/Miniseries,Talk,"News, politics & current events",Sports,About 2 hours,About 2 hours
100K to 500K,Male,Married (Includes Cohabitation),2,40 to 49,Bachelor's degree,$101K to $150K,Multiple family,Standard,No,6,7,4,4,4,6,5,7,7,Documentary,Country,"News, politics & current events",Business,About 1 hour,About 1 hour
10K to 100K,Female,Married (Includes Cohabitation),3,30 to 39,Bachelor's degree,$101K to $150K,Condominium/Townhouse,Standard,No,6,6,3,3,3,5,5,7,5,Sports,Jazz & blues,Family & parenting,Editorial,About 1 hour,About 2 hours
500K to 1 million,Female,Married (Includes Cohabitation),3,40 to 49,Bachelor's degree,Over $150K,Multiple family,Standard,Yes,5,3,7,4,7,2,4,1,3,Drama,Jazz & blues,Business & money,National news,Less than 1 hour,About 1 hour
500K to 1 million,Male,Married (Includes Cohabitation),3,40 to 49,Some college or Associate's degree,$76K to $100K,Single family,Luxury,Yes,2,7,2,6,2,4,7,2,1,Drama,Pop & Chart,"News, politics & current events",Sports,About 2 hours,About 2 hours
100K to 500K,Male,Married (Includes Cohabitation),2,50 to 59,Graduate or professional degree,Over $150K,Multiple family,Luxury,No,4,7,4,4,7,5,4,7,4,Drama,Jazz & blues,Business & money,National news,Less than 1 hour,About 1 hour
500K to 1 million,Male,Unmarried,1,40 to 49,Some college or Associate's degree,$50K to $75K,Condominium/Townhouse,Luxury,Yes,7,7,2,6,2,3,6,3,7,Movies/Miniseries,Pop & Chart,Music & entertainment,Sports,About 2 hours,About 1 hour
500K to 1 million,Female,Unmarried,1,30 to 39,Bachelor's degree,$76K to $100K,Single family,Economy,No,1,1,3,7,3,3,4,6,1,Documentary,Classic pop & rock,Family & parenting,Sports,Less than 1 hour,Less than 1 hour
1 million and more,Male,Married (Includes Cohabitation),3,50 to 59,Bachelor's degree,$101K to $150K,Single family,Economy,No,7,1,2,4,5,3,6,2,3,Science Fiction,Jazz & blues,Home & garden,Business,Less than 1 hour,About 1 hour
500K to 1 million,Female,Unmarried,1,30 to 39,Some college or Associate's degree,$76K to $100K,Condominium/Townhouse,Standard,Yes,5,6,3,6,3,3,7,3,3,Movies/Miniseries,Pop & Chart,"News, politics & current events",National news,About 3 hours or more,About 1 hour
1 million and more,Male,Married (Includes Cohabitation),2,40 to 49,High school graduate,$76K to $100K,Condominium/Townhouse,Luxury,No,3,3,4,6,2,4,7,4,2,Reality,Easy listening,Music & entertainment,Sports,About 2 hours,About 2 hours
500K to 1 million,Male,Married (Includes Cohabitation),4,40 to 49,Some college or Associate's degree,$50K to $75K,Multiple family,Luxury,No,5,2,4,6,4,5,7,4,4,Drama,Country,Sports & outdoors,Sports,About 2 hours,About 2 hours
500K to 1 million,Male,Married (Includes Cohabitation),4,40 to 49,Bachelor's degree,$76K to $100K,Multiple family,Luxury,Yes,4,6,4,4,4,4,5,7,1,Science Fiction,Pop & Chart,Music & entertainment,Local news,Less than 1 hour,About 2 hours
1 million and more,Male,Married (Includes Cohabitation),4,50 to 59,Graduate or professional degree,$101K to $150K,Multiple family,Luxury,Yes,7,7,2,4,5,4,4,5,1,Drama,Classic pop & rock,"Trucks, Cars & Motorcycles",Business,Less than 1 hour,About 1 hour
500K to 1 million,Female,Married (Includes Cohabitation),2,30 to 39,Some college or Associate's degree,$50K to $75K,Single family,Economy,No,4,6,3,6,3,3,7,4,3,Movies/Miniseries,Talk,Sports & outdoors,Sports,About 2 hours,About 2 hours
500K to 1 million,Female,Married (Includes Cohabitation),2,40 to 49,Bachelor's degree,Over $150K,Single family,Luxury,Yes,7,7,7,4,6,3,6,1,7,Documentary,Talk,"News, politics & current events",Entertainment,About 1 hour,Less than 1 hour
500K to 1 million,Female,Married (Includes Cohabitation),4,30 to 39,Bachelor's degree,$76K to $100K,Multiple family,Economy,No,7,7,3,2,3,4,3,6,1,Comedy,Pop & Chart,Sports & outdoors,National news,Less than 1 hour,About 2 hours
500K to 1 million,Male,Unmarried,1,40 to 49,Some college or Associate's degree,$50K to $75K,Condominium/Townhouse,Standard,Yes,7,6,2,6,2,4,7,4,5,Movies/Miniseries,Pop & Chart,Music & entertainment,Sports,About 2 hours,About 1 hour
100K to 500K,Male,Married (Includes Cohabitation),3,40 to 49,Bachelor's degree,$101K to $150K,Multiple family,Luxury,Yes,6,7,2,4,2,2,6,7,3,Sports,Pop & Chart,Family & parenting,National news,About 1 hour,About 1 hour
500K to 1 million,Male,Married (Includes Cohabitation),2,40 to 49,Bachelor's degree,$76K to $100K,Condominium/Townhouse,Standard,No,5,6,3,4,2,4,6,7,3,Sports,Jazz & blues,Family & parenting,Local news,Less than 1 hour,Less than 1 hour
500K to 1 million,Male,Unmarried,1,50 to 59,Graduate or professional degree,Over $150K,Multiple family,Luxury,No,2,1,4,7,7,4,3,4,7,Documentary,Classic pop & rock,"Trucks, Cars & Motorcycles",Sports,Less than 1 hour,Less than 1 hour
500K to 1 million,Male,Married (Includes Cohabitation),2,40 to 49,High school graduate,$50K to $75K,Moble home,None,No,4,7,2,7,2,3,7,2,5,Comedy,Pop & Chart,Music & entertainment,Sports,About 2 hours,About 2 hours
1 million and more,Male,Married (Includes Cohabitation),2,50 to 59,Bachelor's degree,$101K to $150K,Single family,Standard,No,7,7,2,4,6,4,7,4,6,Documentary,Classic pop & rock,"News, politics & current events",Editorial,About 1 hour,Less than 1 hour
1 million and more,Female,Married (Includes Cohabitation),3,40 to 49,Graduate or professional degree,Over $150K,Multiple family,Luxury,Yes,6,4,7,4,7,2,5,2,3,Movies/Miniseries,Easy listening,Business & money,Editorial,Less than 1 hour,Less than 1 hour
1 million and more,Female,Married (Includes Cohabitation),3,40 to 49,Graduate or professional degree,$101K to $150K,Multiple family,Standard,Yes,7,7,3,3,7,3,5,3,1,Drama,Jazz & blues,Business & money,National news,Less than 1 hour,About 1 hour
500K to 1 million,Male,Married (Includes Cohabitation),2,40 to 49,Bachelor's degree,$76K to $100K,Single family,Standard,No,3,1,2,3,2,2,5,7,7,Science Fiction,Pop & Chart,Music & entertainment,Local news,About 2 hours,About 1 hour
100K to 500K,Female,Married (Includes Cohabitation),3,30 to 39,Bachelor's degree,$76K to $100K,Condominium/Townhouse,Standard,No,7,6,3,3,3,5,3,6,3,Science Fiction,Pop & Chart,Family & parenting,Sports,Less than 1 hour,About 1 hour
100K to 500K,Male,Married (Includes Cohabitation),3,50 to 59,Bachelor's degree,$101K to $150K,Condominium/Townhouse,Luxury,No,3,7,4,4,6,6,6,3,4,Drama,Classic pop & rock,"Cooking, food & wine",Business,About 1 hour,Less than 1 hour
100K to 500K,Male,Married (Includes Cohabitation),2,40 to 49,Some college or Associate's degree,$76K to $100K,Single family,Luxury,No,6,6,4,7,4,4,7,4,3,Movies/Miniseries,Talk,Family & parenting,Sports,About 2 hours,About 2 hours
1 million and more,Female,Married (Includes Cohabitation),3,40 to 49,Bachelor's degree,$101K to $150K,Multiple family,Standard,Yes,6,7,3,3,6,5,3,4,7,Reality,Country,Family & parenting,Local news,Less than 1 hour,Less than 1 hour
10K to 100K,Male,Married (Includes Cohabitation),3,60 and older,High school graduate,$50K to $75K,Moble home,Standard,No,5,7,4,3,3,5,4,3,1,Documentary,Talk,Family & parenting,Sports,Less than 1 hour,About 1 hour
500K to 1 million,Female,Unmarried,1,30 to 39,Some college or Associate's degree,$76K to $100K,Condominium/Townhouse,Economy,Yes,7,7,3,5,3,5,6,7,5,Drama,Pop & Chart,Family & parenting,Sports,About 3 hours or more,About 3 hours or more
1 million and more,Female,Married (Includes Cohabitation),2,30 to 39,Some college or Associate's degree,$76K to $100K,Single family,Luxury,Yes,4,7,4,6,3,6,7,6,5,Movies/Miniseries,Talk,Family & parenting,Sports,About 3 hours or more,About 3 hours or more
10K to 100K,Female,Married (Includes Cohabitation),3,30 to 39,Bachelor's degree,$101K to $150K,Single family,Standard,No,5,6,3,2,3,6,4,7,1,Sports,Pop & Chart,Family & parenting,Local news,About 2 hours,About 2 hours
Under 10K,Male,Married (Includes Cohabitation),2,60 and older,Some college or Associate's degree,$76K to $100K,Condominium/Townhouse,Luxury,No,6,7,7,2,4,4,3,5,6,Documentary,Country,Family & parenting,Business,Less than 1 hour,Less than 1 hour
500K to 1 million,Male,Married (Includes Cohabitation),2,40 to 49,Some college or Associate's degree,$76K to $100K,Single family,Economy,No,7,3,4,6,4,5,7,4,2,Drama,Pop & Chart,"News, politics & current events",Do not read,About 2 hours,About 1 hour
100K to 500K,Female,Unmarried,1,40 to 49,Graduate or professional degree,Over $150K,Single family,Luxury,No,6,7,7,7,7,2,2,4,1,Documentary,Classic pop & rock,"Trucks, Cars & Motorcycles",Sports,About 2 hours,About 2 hours
100K to 500K,Female,Married (Includes Cohabitation),4,40 to 49,Bachelor's degree,$101K to $150K,Condominium/Townhouse,Luxury,No,5,1,3,3,6,3,3,5,1,Movies/Miniseries,Classic pop & rock,"News, politics & current events",Business,About 1 hour,Less than 1 hour
500K to 1 million,Male,Married (Includes Cohabitation),2,40 to 49,Bachelor's degree,$101K to $150K,Single family,Luxury,No,7,1,4,4,4,6,4,4,3,Documentary,Pop & Chart,Music & entertainment,Local news,About 2 hours,About 1 hour
500K to 1 million,Female,Married (Includes Cohabitation),2,30 to 39,Some college or Associate's degree,$76K to $100K,Multiple family,Economy,Yes,5,3,7,6,7,4,6,5,2,Drama,Country,Family & parenting,Sports,About 3 hours or more,About 3 hours or more
100K to 500K,Female,Married (Includes Cohabitation),2,40 to 49,Bachelor's degree,$101K to $150K,Single family,Luxury,No,7,7,3,3,5,5,5,4,1,Drama,Classic pop & rock,Home & garden,Business,About 1 hour,About 2 hours
10K to 100K,Female,Married (Includes Cohabitation),5,30 to 39,Bachelor's degree,$101K to $150K,Condominium/Townhouse,Standard,No,3,6,3,3,3,4,3,7,1,Sports,Talk,"News, politics & current events",Editorial,About 1 hour,About 2 hours
100K to 500K,Female,Married (Includes Cohabitation),3,40 to 49,Bachelor's degree,$101K to $150K,Multiple family,Standard,No,3,7,3,3,6,6,6,6,2,Documentary,Country,Family & parenting,Business,Less than 1 hour,About 1 hour
100K to 500K,Female,Married (Includes Cohabitation),3,30 to 39,Bachelor's degree,$76K to $100K,Multiple family,Economy,Yes,7,5,7,4,7,4,4,7,4,Science Fiction,Easy listening,Family & parenting,Business,About 1 hour,About 2 hours
1 million and more,Male,Married (Includes Cohabitation),2,40 to 49,Some college or Associate's degree,$50K to $75K,Multiple family,Luxury,Yes,1,4,4,6,4,5,7,7,1,Drama,Pop & Chart,Sports & outdoors,Sports,About 2 hours,About 1 hour
100K to 500K,Male,Married (Includes Cohabitation),3,40 to 49,Bachelor's degree,$76K to $100K,Multiple family,Luxury,No,4,6,2,4,2,3,4,5,3,Comedy,Classic pop & rock,Family & parenting,Business,About 1 hour,About 2 hours
1 million and more,Female,Married (Includes Cohabitation),3,40 to 49,Bachelor's degree,$101K to $150K,Multiple family,Standard,No,2,7,3,3,7,5,4,5,7,Sports,Country,Business & money,Business,Less than 1 hour,About 2 hours
10K to 100K,Male,Married (Includes Cohabitation),2,60 and older,Some college or Associate's degree,$76K to $100K,Single family,Standard,No,2,1,2,2,2,2,3,2,4,Drama,Easy listening,Sports & outdoors,Local news,Less than 1 hour,Less than 1 hour
100K to 500K,Male,Married (Includes Cohabitation),2,40 to 49,Bachelor's degree,$76K to $100K,Multiple family,Luxury,No,5,1,4,3,4,7,4,6,3,Documentary,Pop & Chart,"News, politics & current events",Local news,About 1 hour,About 1 hour
10K to 100K,Male,Married (Includes Cohabitation),2,60 and older,Bachelor's degree,$76K to $100K,Condominium/Townhouse,None,Yes,5,7,7,2,4,3,5,7,5,Sports,Classic pop & rock,"News, politics & current events",National news,About 1 hour,About 1 hour
500K to 1 million,Female,Married (Includes Cohabitation),4,30 to 39,Some college or Associate's degree,$76K to $100K,Single family,Luxury,No,5,7,3,6,3,3,5,4,2,Movies/Miniseries,Talk,"News, politics & current events",Do not read,About 3 hours or more,About 1 hour
Under 10K,Male,Married (Includes Cohabitation),2,60 and older,High school graduate,$50K to $75K,Moble home,None,Yes,4,2,4,3,3,6,5,3,3,Movies/Miniseries,Jazz & blues,"News, politics & current events",Local news,Less than 1 hour,Less than 1 hour
1 million and more,Male,Unmarried,1,20 to 29,Less than high school,Under $50K,Single family,Standard,No,1,3,7,7,3,7,3,5,2,Reality,Country,Sports & outdoors,Entertainment,About 3 hours or more,About 3 hours or more
100K to 500K,Male,Married (Includes Cohabitation),3,40 to 49,Bachelor's degree,$76K to $100K,Condominium/Townhouse,Standard,No,7,7,4,3,4,4,4,5,5,Science Fiction,Pop & Chart,Family & parenting,Sports,Less than 1 hour,About 1 hour
1 million and more,Male,Married (Includes Cohabitation),3,40 to 49,Some college or Associate's degree,$76K to $100K,Multiple family,Luxury,No,7,7,4,6,4,4,7,4,6,Movies/Miniseries,Pop & Chart,Family & parenting,Sports,About 2 hours,About 2 hours
500K to 1 million,Male,Married (Includes Cohabitation),3,50 to 59,Bachelor's degree,$101K to $150K,Condominium/Townhouse,Standard,No,4,4,4,4,5,4,5,7,6,Comedy,Jazz & blues,Home & garden,Editorial,Less than 1 hour,Less than 1 hour
500K to 1 million,Female,Married (Includes Cohabitation),2,30 to 39,Some college or Associate's degree,$50K to $75K,Multiple family,Standard,No,6,7,3,6,3,5,7,3,2,Drama,Pop & Chart,Sports & outdoors,Sports,About 3 hours or more,About 3 hours or more
500K to 1 million,Male,Married (Includes Cohabitation),2,40 to 49,Bachelor's degree,$76K to $100K,Single family,Standard,Yes,5,7,4,3,4,5,3,7,1,Science Fiction,Pop & Chart,Music & entertainment,Local news,About 2 hours,About 1 hour
500K to 1 million,Male,Married (Includes Cohabitation),3,40 to 49,Bachelor's degree,$76K to $100K,Multiple family,Standard,Yes,7,7,4,4,4,6,6,7,4,Documentary,Pop & Chart,Business & money,Local news,About 2 hours,About 1 hour
10K to 100K,Male,Married (Includes Cohabitation),3,40 to 49,Bachelor's degree,$101K to $150K,Single family,Standard,No,4,4,2,4,2,4,5,7,1,Sports,Pop & Chart,Home & garden,Local news,About 2 hours,About 2 hours
100K to 500K,Female,Unmarried,1,40 to 49,Graduate or professional degree,Over $150K,Multiple family,Luxury,Yes,5,1,3,7,7,3,1,5,1,Documentary,Classic pop & rock,"Cooking, food & wine",Sports,About 2 hours,About 2 hours
1 million and more,Male,Married (Includes Cohabitation),3,50 to 59,Bachelor's degree,$101K to $150K,Condominium/Townhouse,Standard,No,7,7,2,4,6,5,4,4,1,Drama,Classic pop & rock,Family & parenting,Business,About 1 hour,Less than 1 hour
500K to 1 million,Male,Married (Includes Cohabitation),2,40 to 49,Bachelor's degree,$76K to $100K,Condominium/Townhouse,Luxury,Yes,4,7,2,3,2,3,6,4,4,Sports,Jazz & blues,Family & parenting,Local news,Less than 1 hour,Less than 1 hour
10K to 100K,Female,Married (Includes Cohabitation),3,30 to 39,Bachelor's degree,$76K to $100K,Multiple family,None,No,4,2,3,3,3,4,4,6,4,Reality,Pop & Chart,Family & parenting,Local news,About 1 hour,About 2 hours
100K to 500K,Male,Married (Includes Cohabitation),2,40 to 49,Some college or Associate's degree,$76K to $100K,Multiple family,Luxury,No,5,7,2,6,2,5,5,2,3,Comedy,Pop & Chart,"News, politics & current events",Sports,About 2 hours,About 1 hour
100K to 500K,Male,Married (Includes Cohabitation),3,40 to 49,Bachelor's degree,$76K to $100K,Condominium/Townhouse,Luxury,No,4,7,2,4,2,3,4,7,7,Science Fiction,Pop & Chart,Family & parenting,Sports,Less than 1 hour,About 1 hour
Under 10K,Male,Married (Includes Cohabitation),3,60 and older,Some college or Associate's degree,$76K to $100K,Multiple family,Standard,No,7,7,2,2,2,5,3,2,5,Documentary,Easy listening,Family & parenting,Local news,Less than 1 hour,Less than 1 hour
100K to 500K,Male,Married (Includes Cohabitation),3,40 to 49,Bachelor's degree,$76K to $100K,Condominium/Townhouse,Luxury,No,2,1,4,3,4,4,6,6,1,Documentary,Pop & Chart,Family & parenting,Sports,Less than 1 hour,About 1 hour
500K to 1 million,Male,Married (Includes Cohabitation),2,50 to 59,Bachelor's degree,$101K to $150K,Single family,Luxury,No,7,7,4,4,6,4,5,6,4,Documentary,Classic pop & rock,"News, politics & current events",Editorial,About 1 hour,Less than 1 hour
100K to 500K,Male,Married (Includes Cohabitation),2,40 to 49,Bachelor's degree,$76K to $100K,Single family,Luxury,Yes,4,1,2,4,2,3,5,6,2,Reality,Pop & Chart,Music & entertainment,Local news,About 1 hour,About 1 hour
10K to 100K,Female,Married (Includes Cohabitation),3,30 to 39,Bachelor's degree,$76K to $100K,Moble home,Luxury,Yes,4,7,3,3,3,3,5,6,3,Sports,Pop & Chart,Family & parenting,Local news,About 1 hour,About 1 hour
100K to 500K,Female,Married (Includes Cohabitation),3,30 to 39,Bachelor's degree,$76K to $100K,Multiple family,Economy,No,7,7,3,3,3,3,5,7,2,Science Fiction,Easy listening,Family & parenting,Business,About 1 hour,About 2 hours
500K to 1 million,Female,Married (Includes Cohabitation),2,30 to 39,Some college or Associate's degree,$50K to $75K,Condominium/Townhouse,Standard,No,5,7,3,7,3,3,7,3,4,Comedy,Country,Music & entertainment,Entertainment,About 3 hours or more,About 3 hours or more
500K to 1 million,Female,Married (Includes Cohabitation),2,30 to 39,Some college or Associate's degree,$76K to $100K,Single family,Standard,No,1,1,3,6,3,4,7,5,1,Comedy,Talk,Family & parenting,Sports,About 2 hours,About 2 hours
1 million and more,Male,Married (Includes Cohabitation),2,40 to 49,Some college or Associate's degree,$76K to $100K,Condominium/Townhouse,Standard,No,7,7,4,6,4,4,6,5,3,Reality,Easy listening,"News, politics & current events",Sports,About 2 hours,About 2 hours
500K to 1 million,Female,Married (Includes Cohabitation),3,30 to 39,Bachelor's degree,$76K to $100K,Multiple family,Luxury,Yes,7,7,7,2,4,3,3,6,3,Sports,Easy listening,Music & entertainment,Business,Less than 1 hour,About 1 hour
100K to 500K,Female,Married (Includes Cohabitation),3,40 to 49,Bachelor's degree,$101K to $150K,Single family,Economy,No,7,7,7,4,5,1,6,5,1,Drama,Classic pop & rock,"News, politics & current events",Editorial,About 2 hours,Less than 1 hour
100K to 500K,Male,Married (Includes Cohabitation),2,40 to 49,Bachelor's degree,$76K to $100K,Single family,Standard,No,1,1,2,4,2,2,5,6,3,Reality,Pop & Chart,Music & entertainment,Business,About 1 hour,About 1 hour
100K to 500K,Male,Married (Includes Cohabitation),3,40 to 49,Bachelor's degree,$76K to $100K,Multiple family,Economy,No,5,7,2,4,2,2,6,7,6,Sports,Pop & Chart,Family & parenting,Local news,About 1 hour,About 1 hour
500K to 1 million,Male,Married (Includes Cohabitation),3,40 to 49,Bachelor's degree,$101K to $150K,Multiple family,Standard,No,5,7,4,3,4,4,3,7,6,Documentary,Pop & Chart,Business & money,Local news,About 2 hours,About 1 hour
Under 10K,Male,Married (Includes Cohabitation),3,60 and older,High school graduate,$50K to $75K,Condominium/Townhouse,None,Yes,6,7,4,3,3,6,6,4,1,Movies/Miniseries,Talk,Sports & outdoors,Local news,Less than 1 hour,Less than 1 hour
100K to 500K,Female,Married (Includes Cohabitation),2,30 to 39,High school graduate,$50K to $75K,Single family,None,No,7,7,7,6,7,1,7,2,1,Movies/Miniseries,Talk,Sports & outdoors,Sports,About 3 hours or more,About 3 hours or more
500K to 1 million,Male,Married (Includes Cohabitation),5,40 to 49,Some college or Associate's degree,$50K to $75K,Condominium/Townhouse,Luxury,No,5,5,4,7,4,6,6,6,1,Drama,Country,Music & entertainment,Entertainment,About 2 hours,About 2 hours
500K to 1 million,Female,Married (Includes Cohabitation),2,40 to 49,Graduate or professional degree,Over $150K,Multiple family,Luxury,No,7,7,3,3,7,3,5,5,6,Documentary,Country,Business & money,Local news,Less than 1 hour,Less than 1 hour
10K to 100K,Male,Married (Includes Cohabitation),3,40 to 49,Bachelor's degree,$76K to $100K,Single family,Luxury,No,7,7,4,3,4,4,4,7,4,Sports,Pop & Chart,Home & garden,Local news,About 2 hours,About 2 hours
10K to 100K,Male,Married (Includes Cohabitation),3,60 and older,Bachelor's degree,$101K to $150K,Single family,Luxury,No,7,7,3,4,4,6,5,7,1,Movies/Miniseries,Talk,Sports & outdoors,Local news,About 1 hour,Less than 1 hour
1 million and more,Male,Unmarried,1,20 to 29,Less than high school,Under $50K,Multiple family,None,No,7,7,7,7,4,7,3,4,3,Sports,Country,"Trucks, Cars & Motorcycles",Entertainment,About 1 hour,About 2 hours
10K to 100K,Male,Unmarried,1,60 and older,Graduate or professional degree,$76K to $100K,Multiple family,Economy,No,7,7,2,2,4,5,5,4,3,Documentary,Pop & Chart,Family & parenting,Local news,Less than 1 hour,Less than 1 hour
500K to 1 million,Male,Unmarried,1,40 to 49,Some college or Associate's degree,$76K to $100K,Condominium/Townhouse,Economy,No,3,4,4,6,4,5,7,5,1,Movies/Miniseries,Pop & Chart,"News, politics & current events",Sports,About 2 hours,About 1 hour
100K to 500K,Female,Married (Includes Cohabitation),2,30 to 39,Bachelor's degree,$76K to $100K,Multiple family,Standard,No,2,4,7,4,7,3,4,7,7,Movies/Miniseries,Pop & Chart,Home & garden,Entertainment,About 2 hours,About 2 hours
500K to 1 million,Male,Married (Includes Cohabitation),2,40 to 49,Some college or Associate's degree,$76K to $100K,Multiple family,Standard,No,7,7,2,7,2,3,7,5,4,Movies/Miniseries,Pop & Chart,Family & parenting,Local news,About 2 hours,About 2 hours
100K to 500K,Male,Married (Includes Cohabitation),4,40 to 49,Bachelor's degree,$101K to $150K,Multiple family,Standard,No,5,1,4,4,4,6,6,7,6,Sports,Jazz & blues,Home & garden,Local news,Less than 1 hour,Less than 1 hour
10K to 100K,Male,Married (Includes Cohabitation),2,60 and older,High school graduate,$50K to $75K,Moble home,Economy,No,5,5,4,3,3,6,5,4,3,Documentary,Talk,"News, politics & current events",Local news,Less than 1 hour,Less than 1 hour
1 million and more,Female,Married (Includes Cohabitation),2,40 to 49,Graduate or professional degree,Over $150K,Multiple family,Standard,No,4,7,3,3,7,5,5,5,3,Documentary,Country,Business & money,Local news,Less than 1 hour,Less than 1 hour
100K to 500K,Male,Married (Includes Cohabitation),3,50 to 59,Graduate or professional degree,Over $150K,Single family,Standard,No,5,7,4,4,7,4,5,7,3,Sports,Jazz & blues,Business & money,Business,Less than 1 hour,About 2 hours
500K to 1 million,Female,Married (Includes Cohabitation),4,30 to 39,Some college or Associate's degree,$50K to $75K,Single family,Standard,No,7,7,7,6,7,3,7,5,5,Movies/Miniseries,Talk,Sports & outdoors,Sports,About 2 hours,About 2 hours
1 million and more,Male,Unmarried,1,40 to 49,Some college or Associate's degree,$50K to $75K,Condominium/Townhouse,None,No,7,7,4,6,4,4,5,6,5,Drama,Pop & Chart,Sports & outdoors,Sports,About 2 hours,About 2 hours
1 million and more,Male,Unmarried,1,20 to 29,Less than high school,Under $50K,Condominium/Townhouse,None,No,4,1,6,2,2,7,3,3,5,Reality,Country,"Trucks, Cars & Motorcycles",Do not read,About 3 hours or more,About 3 hours or more
